Category,Model,Model Year,Manufacturer,Fuel,All-Electric Range,Alternative Fuel Economy Combined,Conventional Fuel Economy Combined,Transmission Type,Engine Size
Sedan/Wagon,RS Q8,2022,Audi,Hybrid Electric,,,15.0,Automatic,4.0L
Sedan/Wagon,S6,2022,Audi,Hybrid Electric,,,22.0,Automatic,2.9L
Sedan/Wagon,S7,2022,Audi,Hybrid Electric,,,22.0,Automatic,2.9L
Sedan/Wagon,S8,2022,Audi,Hybrid Electric,,,17.0,Automatic,4.0L
Sedan/Wagon,Flying Spur Hybrid,2022,Bentley Motors,Plug-in Hybrid Electric,21.0,46.0,19.0,Automatic,2.9L
Sedan/Wagon,330e Sedan,2022,BMW,Plug-in Hybrid Electric,23.0,75.0,28.0,Automatic,2.0L
Sedan/Wagon,330e xDrive,2022,BMW,Plug-in Hybrid Electric,20.0,67.0,25.0,Automatic,2.0L
Sedan/Wagon,530e Sedan,2022,BMW,Plug-in Hybrid Electric,21.0,64.0,26.0,Automatic,2.0L
Sedan/Wagon,530e xDrive Sedan,2022,BMW,Plug-in Hybrid Electric,19.0,62.0,25.0,Automatic,2.0L
Sedan/Wagon,540i Sedan,2022,BMW,Hybrid Electric,,,27.0,Automatic,3.0L
Sedan/Wagon,540i xDrive Sedan,2022,BMW,Hybrid Electric,,,25.0,Automatic,3.0L
Sedan/Wagon,745e xDrive,2022,BMW,Plug-in Hybrid Electric,17.0,56.0,22.0,Automatic,3.0L
Sedan/Wagon,"i4 eDrive40 Gran Coupe (18"" Wheels) ",2022,BMW,Electric,301.0,109.0,,Automatic,250 kW electric motor
Sedan/Wagon,"i4 eDrive40 Gran Coupe (19"" Wheels) ",2022,BMW,Electric,282.0,99.0,,Automatic,250 kW electric motor
Sedan/Wagon,"i4 M50 Gran Coupe (19"" Wheels) ",2022,BMW,Electric,270.0,96.0,,Automatic,190 and 230 kW electric motors
Sedan/Wagon,"i4 M50 Gran Coupe (20"" Wheels) ",2022,BMW,Electric,227.0,80.0,,Automatic,190 and 230 kW electric motors
SUV,"iX xDrive50 (20"" Wheels) ",2022,BMW,Electric,324.0,86.0,,Automatic,190 and 230 kW electric motors
SUV,"iX xDrive50 (21"" Wheels) ",2022,BMW,Electric,305.0,83.0,,Automatic,190 and 230 kW electric motors
SUV,"iX xDrive50 (22"" Wheels) ",2022,BMW,Electric,315.0,86.0,,Automatic,190 and 230 kW electric motors
