Category,Model,Model Year,Manufacturer,Fuel,All-Electric Range,Alternative Fuel Economy Combined,Conventional Fuel Economy Combined,Transmission Type,Engine Size
Sedan/Wagon,Leaf (40 kWh battery pack),2022,Nissan,Electric,149.0,111.0,,Automatic,110 kW electric motor
Sedan/Wagon,Leaf (62 kWh battery pack),2022,Nissan,Electric,226.0,108.0,,Automatic,160 kW electric motor
Sedan/Wagon,Leaf SV/SL (62 kWh battery pack),2022,Nissan,Electric,215.0,104.0,,Automatic,160 kW electric motor
Sedan/Wagon,Polestar 2 (Dual Motor),2022,Polestar Automotive USA,Electric,249.0,89.0,,Automatic,150kW electric motors (X2)
Sedan/Wagon,Polestar 2 (Single Motor),2022,Polestar Automotive USA,Electric,270.0,107.0,,Automatic,170kW electric motor
SUV,Cayenne/Coupe/Platinum e-Hybrid,2022,Porsche,Plug-in Hybrid Electric,17.0,46.0,21.0,Automatic,3.0L 
SUV,Cayenne Turbo S/Coupe e-Hybrid ,2022,Porsche,Plug-in Hybrid Electric,15.0,42.0,18.0,Automatic,4.0L
Sedan/Wagon,Panamera 4 E-Hybrid Executive,2022,Porsche,Plug-in Hybrid Electric,19.0,52.0,22.0,Automatic,2.9L
Sedan/Wagon,Panamera 4S E-Hybrid Executive,2022,Porsche,Plug-in Hybrid Electric,19.0,50.0,22.0,Automatic,2.9L
Sedan/Wagon,Panamera Turbo S E-Hybrid Executive/ST,2022,Porsche,Plug-in Hybrid Electric,17.0,48.0,19.0,Automatic,4.0L
Sedan/Wagon,Taycan 4 Cross Turismo,2022,Porsche,Electric,215.0,76.0,,Automatic,175 and 320 kW electric motors
Sedan/Wagon,Taycan 4S Cross Turismo,2022,Porsche,Electric,215.0,75.0,,Automatic,175 and 320 kW electric motors
Sedan/Wagon,Taycan 4S Perf Battery,2022,Porsche,Electric,199.0,79.0,,Automatic,150 and 270 kW electric motors
Sedan/Wagon,Taycan 4S Perf Battery Plus,2022,Porsche,Electric,227.0,77.0,,Automatic,175 and 320 kW electric motors
Sedan/Wagon,Taycan Perf Battery,2022,Porsche,Electric,200.0,79.0,,Automatic,240 kW electric motor
Sedan/Wagon,Taycan Perf Battery Plus,2022,Porsche,Electric,225.0,75.0,,Automatic,280 kW electric motor
Sedan/Wagon,Taycan Turbo,2022,Porsche,Electric,212.0,73.0,,Automatic,170 and 335 kW electric motors
Sedan/Wagon,Taycan Turbo Cross Turismo,2022,Porsche,Electric,204.0,72.0,,Automatic,175 and 355 kW electric motors
Sedan/Wagon,Taycan Turbo S,2022,Porsche,Electric,201.0,70.0,,Automatic,190 and 335 kW electric motors
Sedan/Wagon,Taycan Turbo S Cross Turismo,2022,Porsche,Electric,202.0,73.0,,Automatic,175 and 355 kW electric motors
Pickup,1500 4X2,2022,Ram,Hybrid Electric,,,22.0,Automatic,3.6L
Pickup,1500 4X4,2022,Ram,Hybrid Electric,,,19.0,Automatic,5.7L
Pickup,1500 HFE 4X2,2022,Ram,Hybrid Electric,,,23.0,Automatic,3.6L
SUV,R1S,2022,Rivian ,Electric,316.0,69.0,,Automatic,"162, 162, 163, 163 kW "
Pickup,R1T,2022,Rivian ,Electric,314.0,70.0,,Automatic,"162, 162, 163, 163 kW "
Sedan/Wagon,Model 3 (Long Range) AWD,2022,Tesla,Electric,353.0,131.0,,Automatic,98 kW and 195 kW electric motors
Sedan/Wagon,Model 3 Performance AWD,2022,Tesla,Electric,315.0,113.0,,Automatic,131kW and 190 kW electric motors
Sedan/Wagon,Model 3 RWD,2022,Tesla,Electric,272.0,132.0,,Automatic,192 kW electric motor
Sedan/Wagon,Model S ,2022,Tesla,Electric,405.0,120.0,,Automatic,247 kW dual electric motors
Sedan/Wagon,"Model S Plaid (19"" Wheels)",2022,Tesla,Electric,396.0,116.0,,Automatic,250 kW electric motors (X3)
Sedan/Wagon,"Model S Plaid (21"" Wheels)",2022,Tesla,Electric,348.0,101.0,,Automatic,250 kW electric motors (X3)
SUV,Model X AWD,2022,Tesla,Electric,348.0,102.0,,Automatic,243 and 248 kW electric motors
SUV,"Model X Plaid (20"" Wheels)",2022,Tesla,Electric,333.0,98.0,,Automatic,230kW electric motors (X3)
SUV,"Model X Plaid (22"" Wheels)",2022,Tesla,Electric,311.0,91.0,,Automatic,230kW electric motors (X3)
SUV,Model Y AWD,2022,Tesla,Electric,279.0,123.0,,Automatic,91 and 200 kW electric motors
SUV,Model Y (Long Range) AWD,2022,Tesla,Electric,330.0,122.0,,Automatic,91 and 200 kW electric motors
SUV,Model Y Performance AWD,2022,Tesla,Electric,303.0,111.0,,Automatic,133 and 179 kW electric motors
SUV,Model Y RWD,2022,Tesla,Electric,244.0,129.0,,Automatic,209 kW electric motor
Sedan/Wagon,Avalon Hybrid ,2022,Toyota,Hybrid Electric,,,43.0,Automatic,2.5L
Sedan/Wagon,Avalon Hybrid XLE,2022,Toyota,Hybrid Electric,,,44.0,Automatic,2.5L
Sedan/Wagon,Camry Hybrid LE,2022,Toyota,Hybrid Electric,,,52.0,Automatic,2.5L
Sedan/Wagon,Camry Hybrid SE/XLE/XSE,2022,Toyota,Hybrid Electric,,,46.0,Automatic,2.5L
Sedan/Wagon,Corolla Hybrid,2022,Toyota,Hybrid Electric,,,52.0,Automatic,1.8L
SUV,Highlander Hybrid,2022,Toyota,Hybrid Electric,,,36.0,Automatic,2.5L
SUV,Highlander Hybrid AWD,2022,Toyota,Hybrid Electric,,,35.0,Automatic,2.5L
SUV,Highlander Hybrid AWD LTD/PLAT,2022,Toyota,Hybrid Electric,,,35.0,Automatic,2.5L
Sedan/Wagon,Mirai LE,2022,Toyota,Hydrogen Fuel Cell,,74.0,,Automatic,134 kW electric motor
Sedan/Wagon,Mirai Limited,2022,Toyota,Hydrogen Fuel Cell,,65.0,,Automatic,134 kW electric motor
Sedan/Wagon,Mirai XLE,2022,Toyota,Hydrogen Fuel Cell,,74.0,,Automatic,134 kW electric motor
Sedan/Wagon,Prius,2022,Toyota,Hybrid Electric,,,52.0,Automatic,1.8L
Sedan/Wagon,Prius AWD,2022,Toyota,Hybrid Electric,,,49.0,Automatic,1.8L
Sedan/Wagon,Prius Eco,2022,Toyota,Hybrid Electric,,,56.0,Automatic,1.8L
Sedan/Wagon,Prius Prime,2022,Toyota,Plug-in Hybrid Electric,25.0,133.0,54.0,Automatic,1.8L
SUV,RAV4 Hybrid AWD,2022,Toyota,Hybrid Electric,,,40.0,Automatic,2.5L
Sedan/Wagon,RAV4 Prime AWD,2022,Toyota,Plug-in Hybrid Electric,42.0,94.0,38.0,Automatic,2.5L
Van,Sienna AWD,2022,Toyota,Hybrid Electric,,,35.0,Automatic,2.5L
Pickup,TUNDRA 2WD,2022,Toyota,Hybrid Electric,,,22.0,Automatic,3.4L
Pickup,TUNDRA 4WD,2022,Toyota,Hybrid Electric,,,20.0,Automatic,3.4L
Pickup,TUNDRA 4WD PRO,2022,Toyota,Hybrid Electric,,,19.0,Automatic,3.4L
SUV,Venza AWD,2022,Toyota,Hybrid Electric,,,39.0,Automatic,2.5L
SUV,ID.4 AWD Pro,2022,Volkswagen,Electric,251.0,101.0,,Automatic,80 and 150 kW electric motors
SUV,ID.4 AWD Pro S,2022,Volkswagen,Electric,245.0,95.0,,Automatic,80 and 150 kW electric motors
SUV,ID.4 Pro,2022,Volkswagen,Electric,275.0,107.0,,Automatic,150 kW electric motor
SUV,ID.4 Pro S,2022,Volkswagen,Electric,262.0,102.0,,Automatic,150 kW electric motor
SUV,C40 Recharge Twin,2022,Volvo,Electric,226.0,87.0,,Automatic,150 kW electric motors (X2)
Sedan/Wagon,S60 T8 AWD Recharge,2022,Volvo,Plug-in Hybrid Electric,22.0,69.0,30.0,Automatic,2.0L
Sedan/Wagon,S60 T8 AWD Recharge ext. Range,2022,Volvo,Plug-in Hybrid Electric,40.0,74.0,31.0,Automatic,2.0L
Sedan/Wagon,S90 T8 AWD Recharge,2022,Volvo,Plug-in Hybrid Electric,21.0,63.0,30.0,Automatic,2.0L
Sedan/Wagon,S90 T8 AWD Recharge ext. Range,2022,Volvo,Plug-in Hybrid Electric,38.0,66.0,29.0,Automatic,2.0L
Sedan/Wagon,V60 T8 AWD Recharge,2022,Volvo,Plug-in Hybrid Electric,22.0,69.0,30.0,Automatic,2.0L
Sedan/Wagon,V60 T8 AWD Recharge ext. Range,2022,Volvo,Plug-in Hybrid Electric,40.0,74.0,31.0,Automatic,2.0L
SUV,XC40 Recharge Twin,2022,Volvo,Electric,223.0,85.0,,Automatic,150kW electric motor
SUV,XC60 T8 AWD Recharge,2022,Volvo,Plug-in Hybrid Electric,19.0,57.0,25.0,Automatic,2.0L
SUV,XC60 T8 AWD Recharge ext. Range,2022,Volvo,Plug-in Hybrid Electric,36.0,63.0,28.0,Automatic,2.0L
SUV,XC90 T8 AWD Recharge,2022,Volvo,Plug-in Hybrid Electric,18.0,55.0,27.0,Automatic,2.0L
SUV,XC90 T8 AWD Recharge ext. Range,2022,Volvo,Plug-in Hybrid Electric,36.0,66.0,26.0,Automatic,2.0L
Sedan/Wagon,NSX,2021,Acura,Hybrid Electric,,,21.0,Automatic,3.5L
Sedan/Wagon,A4 allroad quattro,2021,Audi,Hybrid Electric,,,26.0,Automatic,2.0L
Sedan/Wagon,A4 quattro,2021,Audi,Hybrid Electric,,,28.0,Automatic,2.0L
Sedan/Wagon,A4 S line quattro,2021,Audi,Hybrid Electric,,,27.0,Automatic,2.0L
Sedan/Wagon,A5 Cabriolet quattro,2021,Audi,Hybrid Electric,,,26.0,Automatic,2.0L
Sedan/Wagon,A5 quattro,2021,Audi,Hybrid Electric,,,27.0,Automatic,2.0L
Sedan/Wagon,A5 Sportback quattro,2021,Audi,Hybrid Electric,,,28.0,Automatic,2.0L
Sedan/Wagon,A5 Sportback S line quattro,2021,Audi,Hybrid Electric,,,27.0,Automatic,2.0L
Sedan/Wagon,A6 Allroad,2021,Audi,Hybrid Electric,,,22.0,Automatic,3.0L
Sedan/Wagon,A6 quattro,2021,Audi,Hybrid Electric,,,24.0,Automatic,3.0L
Sedan/Wagon,A7 quattro,2021,Audi,Plug-in Hybrid Electric,24.0,68.0,29.0,Automatic,2.0L
Sedan/Wagon,A7 quattro,2021,Audi,Hybrid Electric,,,24.0,Automatic,3.0L
Sedan/Wagon,A8L,2021,Audi,Hybrid Electric,,,18.0,Automatic,4.0L
Sedan/Wagon,A8L,2021,Audi,Plug-in Hybrid Electric,18.0,53.0,23.0,Automatic,3.0L
SUV,e-tron,2021,Audi,Electric,222.0,78.0,,Automatic,141 kW and 172 kW electric motor
SUV,e-tron Sportback,2021,Audi,Electric,218.0,77.0,,Automatic,141 kW and 172 kW electric motor
SUV,Q5,2021,Audi,Hybrid Electric,,,25.0,Automatic,2.0L
SUV,Q5,2021,Audi,Plug-in Hybrid Electric,19.0,50.0,27.0,Automatic,2.0L
SUV,Q5 Sportback,2021,Audi,Hybrid Electric,,,25.0,Automatic,2.0L
SUV,Q7,2021,Audi,Hybrid Electric,,,20.0,Automatic,3.0L
SUV,Q8,2021,Audi,Hybrid Electric,,,20.0,Automatic,3.0L
Sedan/Wagon,RS 6 Avant,2021,Audi,Hybrid Electric,,,17.0,Automatic,4.0L
Sedan/Wagon,RS7,2021,Audi,Hybrid Electric,,,17.0,Automatic,4.0L
Sedan/Wagon,RS Q8,2021,Audi,Hybrid Electric,,,15.0,Automatic,4.0L
Sedan/Wagon,S6,2021,Audi,Hybrid Electric,,,22.0,Automatic,2.9L
Sedan/Wagon,S7,2021,Audi,Hybrid Electric,,,22.0,Automatic,2.9L
Sedan/Wagon,S8,2021,Audi,Hybrid Electric,,,16.0,Automatic,4.0L
SUV,Bentayga,2021,Bentley Motors,Plug-in Hybrid Electric,18.0,46.0,19.0,Automatic,3.0L
Sedan/Wagon,330e,2021,BMW,Plug-in Hybrid Electric,23.0,75.0,28.0,Automatic,2.0L
Sedan/Wagon,330e xDrive,2021,BMW,Plug-in Hybrid Electric,20.0,67.0,25.0,Automatic,2.0L
Sedan/Wagon,530e,2021,BMW,Plug-in Hybrid Electric,21.0,64.0,26.0,Automatic,2.0L
Sedan/Wagon,530e xDrive,2021,BMW,Plug-in Hybrid Electric,19.0,62.0,25.0,Automatic,2.0L
SUV,540i,2021,BMW,Hybrid Electric,,,27.0,Automatic,3.0L
SUV,540i xDrive,2021,BMW,Hybrid Electric,,,26.0,Automatic,3.0L
Sedan/Wagon,745e xDrive,2021,BMW,Plug-in Hybrid Electric,17.0,56.0,22.0,Automatic,3.0L
Sedan/Wagon,i3,2021,BMW,Electric,153.0,113.0,,Automatic,125 kW electric motor
Sedan/Wagon,i3s,2021,BMW,Electric,153.0,113.0,,Automatic,135 kW electric motor
Sedan/Wagon,i3s with Range Extender,2021,BMW,Plug-in Hybrid Electric,126.0,100.0,31.0,Automatic,135 kW
Sedan/Wagon,i3 with Range Extender,2021,BMW,Plug-in Hybrid Electric,126.0,100.0,31.0,Automatic,125 kW
SUV,M340i,2021,BMW,Hybrid Electric,,,26.0,Automatic,3.0L
SUV,M340i xDrive,2021,BMW,Hybrid Electric,,,25.0,Automatic,3.0L
Sedan/Wagon,M440i Convertible,2021,BMW,Hybrid Electric,,,26.0,Automatic,3.0L
Sedan/Wagon,M440i xDrive Coupe,2021,BMW,Hybrid Electric,,,25.0,Automatic,3.0L
SUV,X3 xDrive30e,2021,BMW,Plug-in Hybrid Electric,18.0,60.0,24.0,Automatic,2.0L
SUV,X5 sDrive40i 2WD,2021,BMW,Hybrid Electric,,,23.0,Automatic,3.0L
SUV,X5 sDrive40i 4WD,2021,BMW,Hybrid Electric,,,23.0,Automatic,3.0L
SUV,X5 xDrive45e,2021,BMW,Plug-in Hybrid Electric,31.0,50.0,20.0,Automatic,3.0L
SUV,X6 sDrive40i 2WD,2021,BMW,Hybrid Electric,,,23.0,Automatic,3.0L
SUV,X6 sDrive40i 4WD,2021,BMW,Hybrid Electric,,,23.0,Automatic,3.0L
SUV,X7 sDrive40i 4WD,2021,BMW,Hybrid Electric,,,21.0,Automatic,3.0L
SUV,Escalade 2WD,2021,Cadillac,Biodiesel (B20),,,23.0,Automatic,3.0L
SUV,Escalade 4WD,2021,Cadillac,Biodiesel (B20),,,22.0,Automatic,3.0L
Sedan/Wagon,Bolt EV,2021,Chevrolet,Electric,259.0,118.0,,Manual,150 kW electric motor
Pickup,Colorado 2WD,2021,Chevrolet,Biodiesel (B20),,,23.0,Automatic,2.8L
Pickup,Colorado 4WD,2021,Chevrolet,Biodiesel (B20),,,22.0,Automatic,2.8L
Pickup,Colorado ZR2 4WD,2021,Chevrolet,Biodiesel (B20),,,19.0,Automatic,2.8L
Pickup,Silverado 2WD,2021,Chevrolet,Biodiesel (B20),,,27.0,Automatic,3.0L
Pickup,Silverado 2WD,2021,Chevrolet,Ethanol (E85),,12.0,16.0,Automatic,5.3L
Pickup,Silverado 4WD,2021,Chevrolet,Biodiesel (B20),,,24.0,Automatic,3.0L
Pickup,Silverado 4WD,2021,Chevrolet,Ethanol (E85),,12.0,16.0,Automatic,5.3L
SUV,Suburban 2WD,2021,Chevrolet,Biodiesel (B20),,,23.0,Automatic,3.0L
SUV,Suburban 4WD,2021,Chevrolet,Biodiesel (B20),,,22.0,Automatic,3.0L
SUV,Tahoe 2WD,2021,Chevrolet,Biodiesel (B20),,,24.0,Automatic,3.0L
SUV,Tahoe 4WD,2021,Chevrolet,Biodiesel (B20),,,22.0,Automatic,3.0L
Van,Pacifica Hybrid,2021,Chrysler,Plug-in Hybrid Electric,32.0,82.0,30.0,Automatic,3.6L
Sedan/Wagon,SF90 Stradale Coupe,2021,Ferrari,Plug-in Hybrid Electric,8.0,51.0,18.0,Automatic,3.9L
Sedan/Wagon,Escape AWD HEV,2021,Ford,Hybrid Electric,,,40.0,Automatic,2.5L I4
Sedan/Wagon,Escape FWD HEV,2021,Ford,Hybrid Electric,,,41.0,Automatic,2.5L I4
SUV,Escape FWD PHEV,2021,Ford,Plug-in Hybrid Electric,37.0,105.0,40.0,Automatic,2.5L
SUV,Explorer AWD FFV,2021,Ford,Ethanol (E85),,13.0,19.0,Automatic,3.3L
SUV,Explorer HEV AWD,2021,Ford,Hybrid Electric,,,25.0,Automatic,3.3L V6
SUV,Explorer HEV RWD,2021,Ford,Hybrid Electric,,,27.0,Automatic,3.3L V6
Pickup,F-150 2WD,2021,Ford,Biodiesel (B20),,,,Automatic,3.0L
Pickup,F-150 2WD FFV,2021,Ford,Ethanol (E85),,16.0,21.0,Automatic,3.3L
Pickup,F-150 4WD,2021,Ford,Biodiesel (B20),,,23.0,Automatic,3.0L
Pickup,F-150 4WD FFV,2021,Ford,Ethanol (E85),,15.0,20.0,Automatic,3.3L
Pickup,F150 Pickup 2WD HEV,2021,Ford,Hybrid Electric,,,25.0,Automatic,3.5L V6
Pickup,F150 Pickup 4WD HEV,2021,Ford,Hybrid Electric,,,24.0,Automatic,3.5L V6
Sedan/Wagon,Mustang Mach-E AWD,2021,Ford,Electric,211.0,93.0,,Automatic,198 kW electric motor
Sedan/Wagon,Mustang Mach-E AWD Extended,2021,Ford,Electric,270.0,90.0,,Automatic,209 kW electric motor
Sedan/Wagon,Mustang Mach-E GT AWD,2021,Ford,Electric,270.0,84.0,,Automatic,179  kW electric motors (X2)
Sedan/Wagon,Mustang Mach-E RWD,2021,Ford,Electric,230.0,100.0,,Automatic,198 kW electric motor
Sedan/Wagon,Mustang Mach-E RWD California Route 1,2021,Ford,Electric,305.0,101.0,,Automatic,216 kW electric motor
Sedan/Wagon,Mustang Mach-E RWD Extended,2021,Ford,Electric,300.0,97.0,,Automatic,216 kW electric motor
Pickup,Super Duty F-250,2021,Ford,Ethanol (E85),,,,Automatic,7.3L
Pickup,Super Duty F-250 2WD/4WD,2021,Ford,CNG - Bi-fuel,,,,Automatic,7.3L
Pickup,Super Duty F-250 2WD/4WD,2021,Ford,Biodiesel (B20),,,,Automatic,6.7L
Pickup,Super Duty F-250 2WD/4WD,2021,Ford,CNG - Compressed Natural Gas,,,,Automatic,7.3L
Pickup,Super Duty F-250 2WD/4WD,2021,Ford,Propane - Bi-fuel,,,,Automatic,7.3L
Pickup,Super Duty F-250 2WD/4WD,2021,Ford,Propane,,,,Automatic,7.3L
Van,Transit Connect Van FFV,2021,Ford,Ethanol (E85),,19.0,25.0,Automatic,2.0L
Van,Transit Connect Van/Wagon,2021,Ford,Propane - Bi-fuel,,,,Automatic,2.5L
Van,Transit Connect Van/Wagon,2021,Ford,CNG - Compressed Natural Gas,,,,Automatic,2.5L
Van,Transit Connect Van/Wagon,2021,Ford,CNG - Bi-fuel,,,,Automatic,2.5L
Van,Transit Connect Van/Wagon,2021,Ford,Propane,,,,Automatic,2.5L
Passenger Van/Shuttle Bus,Transit Connect Wagon LWB FFV,2021,Ford,Ethanol (E85),,19.0,26.0,Automatic,2.0L
Passenger Van/Shuttle Bus,Transit T150 Passenger Van 2WD FFV,2021,Ford,Ethanol (E85),,12.0,16.0,Automatic,3.5L
Passenger Van/Shuttle Bus,Transit T150 Passenger Van 4WD FFV,2021,Ford,Ethanol (E85),,12.0,16.0,Automatic,3.5L
Pickup,Canyon 2WD,2021,GMC,Biodiesel (B20),,,23.0,Automatic,2.8L
Pickup,Canyon 4WD,2021,GMC,Biodiesel (B20),,,22.0,Automatic,2.8L
Pickup,Sierra 2WD,2021,GMC,Biodiesel (B20),,,26.0,Automatic,3.0L
Pickup,Sierra 2WD,2021,GMC,Ethanol (E85),,12.0,16.0,Automatic,5.3L
Pickup,Sierra 4WD,2021,GMC,Biodiesel (B20),,,24.0,Automatic,3.0L
Pickup,Sierra 4WD,2021,GMC,Ethanol (E85),,12.0,16.0,Automatic,5.3L
Pickup,Sierra 4WD AT4,2021,GMC,Biodiesel (B20),,,24.0,Automatic,3.0L
SUV,Yukon 2WD,2021,GMC,Biodiesel (B20),,,23.0,Automatic,3.0L
SUV,Yukon 4WD,2021,GMC,Biodiesel (B20),,,22.0,Automatic,3.0L
SUV,Yukon XL 2WD,2021,GMC,Biodiesel (B20),,,23.0,Automatic,3.0L
SUV,Yukon XL 4WD,2021,GMC,Biodiesel (B20),,,22.0,Automatic,3.0L
Sedan/Wagon,Accord,2021,Honda,Hybrid Electric,,,48.0,Automatic,2.0L
Sedan/Wagon,Accord Sport/Touring,2021,Honda,Hybrid Electric,,,43.0,Automatic,2.0L
Sedan/Wagon,Clarity,2021,Honda,Hydrogen Fuel Cell,,68.0,,Automatic,130 kW electric motor
Sedan/Wagon,Clarity PHEV,2021,Honda,Plug-in Hybrid Electric,48.0,110.0,42.0,Automatic,1.5L
SUV,CR-V AWD,2021,Honda,Hybrid Electric,,,38.0,Automatic,2.0L
Sedan/Wagon,Insight,2021,Honda,Hybrid Electric,,,52.0,Automatic,1.5L
Sedan/Wagon,Insight Touring,2021,Honda,Hybrid Electric,,,48.0,Automatic,1.5L
Sedan/Wagon,Elantra Hybrid,2021,Hyundai,Hybrid Electric,,,50.0,Automatic,1.6L
Sedan/Wagon,Elantra Hybrid Blue,2021,Hyundai,Hybrid Electric,,,54.0,Automatic,1.6L
Sedan/Wagon,Ioniq,2021,Hyundai,Hybrid Electric,,,55.0,Automatic,1.6L
Sedan/Wagon,Ioniq Blue,2021,Hyundai,Hybrid Electric,,,59.0,Automatic,1.6L
Sedan/Wagon,Ioniq Electric,2021,Hyundai,Electric,170.0,133.0,,Automatic,100 kW electric motor
Sedan/Wagon,Ioniq Plug-in Hybrid,2021,Hyundai,Plug-in Hybrid Electric,29.0,119.0,52.0,Automatic,1.6L
SUV,Kona Electric,2021,Hyundai,Electric,258.0,120.0,,Automatic,150 kW electric motor
SUV,Nexo,2021,Hyundai,Hydrogen Fuel Cell,,57.0,,Automatic,120 kW electric motor
SUV,Nexo Blue,2021,Hyundai,Hydrogen Fuel Cell,,61.0,,Automatic,120 kW electric motor
Sedan/Wagon,Santa Fe Hybrid,2021,Hyundai,Hybrid Electric,,,32.0,Automatic,1.6L
Sedan/Wagon,Santa Fe Hybrid Blue,2021,Hyundai,Hybrid Electric,,,34.0,Automatic,1.6L
Sedan/Wagon,Sonata Hybrid,2021,Hyundai,Hybrid Electric,,,47.0,Automatic,2.0L
Sedan/Wagon,Sonata Hybrid Blue,2021,Hyundai,Hybrid Electric,,,52.0,Automatic,2.0L
SUV,E-PACE MHEV,2021,Jaguar,Hybrid Electric,,,23.0,Automatic,2.0L
SUV,F-PACE P340 MHEV,2021,Jaguar,Hybrid Electric,,,22.0,Automatic,3.0L
SUV,F-PACE P400 MHEV,2021,Jaguar,Hybrid Electric,,,22.0,Automatic,3.0L
SUV,I-PACE EV400,2021,Jaguar,Electric,234.0,76.0,,Automatic,
SUV,Wrangler 2dr 4x4,2021,Jeep,Hybrid Electric,,,21.0,Automatic,3.6L
SUV,Wrangler 4dr 4x4,2021,Jeep,Hybrid Electric,,,21.0,Automatic,3.6L
SUV,Wrangler 4dr 4xe,2021,Jeep,Plug-in Hybrid Electric,22.0,49.0,20.0,Automatic,2.0L
Sedan/Wagon,K27,2021,Kandi,Electric,59.0,114.0,,Automatic,20 kW electric motor
Sedan/Wagon,"GS-6 (21"" wheels)",2021,Karma,Plug-in Hybrid Electric,61.0,70.0,26.0,Automatic,1.5L
Sedan/Wagon,"Revero GT (21"" wheels)",2021,Karma,Plug-in Hybrid Electric,61.0,70.0,26.0,Automatic,1.5L
Sedan/Wagon,Niro,2021,Kia,Hybrid Electric,,,49.0,Automatic,1.6L
Sedan/Wagon,Niro Electric,2021,Kia,Electric,239.0,112.0,,Automatic,150 kW electric motor
Sedan/Wagon,Niro FE,2021,Kia,Hybrid Electric,,,50.0,Automatic,1.6L
Sedan/Wagon,Niro Plug-in Hybrid,2021,Kia,Plug-in Hybrid Electric,26.0,105.0,46.0,Automatic,1.6L
Sedan/Wagon,Niro Touring,2021,Kia,Hybrid Electric,,,43.0,Automatic,1.6L
SUV,Sorento Hybrid,2021,Kia,Hybrid Electric,,,37.0,Automatic,1.6L
SUV,Defender 110 MHEV,2021,Land Rover,Hybrid Electric,,,19.0,Automatic,3.0L
SUV,Defender 90 MHEV,2021,Land Rover,Hybrid Electric,,,19.0,Automatic,3.0L
SUV,Discovery MHEV,2021,Land Rover,Hybrid Electric,,,21.0,Automatic,3.0L
SUV,Range Rover ,2021,Land Rover,Biodiesel (B20),,,24.0,Automatic,3.0L
SUV,Range Rover MHEV,2021,Land Rover,Hybrid Electric,,,20.0,Automatic,3.0L
SUV,Range Rover PHEV,2021,Land Rover,Plug-in Hybrid Electric,19.0,42.0,19.0,Automatic,2.0L
SUV,Range Rover Sport,2021,Land Rover,Biodiesel (B20),,,24.0,Automatic,3.0L
SUV,Range Rover Sport MHEV,2021,Land Rover,Hybrid Electric,,,21.0,Automatic,3.0L
SUV,Range Rover Sport PHEV,2021,Land Rover,Plug-in Hybrid Electric,19.0,42.0,20.0,Automatic,2.0L
SUV,Range Rover Velar P340 MHEV,2021,Land Rover,Hybrid Electric,,,22.0,Automatic,3.0L
SUV,Range Rover Velar P400 MHEV,2021,Land Rover,Hybrid Electric,,,21.0,Automatic,3.0L
Sedan/Wagon,ES 300h,2021,Lexus,Hybrid Electric,,,44.0,Automatic,2.5L
Sedan/Wagon,LC 500h,2021,Lexus,Hybrid Electric,,,29.0,Automatic,3.5L
Sedan/Wagon,LS 500h,2021,Lexus,Hybrid Electric,,,28.0,Automatic,3.5L
Sedan/Wagon,LS 500h AWD,2021,Lexus,Hybrid Electric,,,26.0,Automatic,3.5L
SUV,NX 300h AWD,2021,Lexus,Hybrid Electric,,,31.0,Automatic,2.5L
SUV,RX 450h AWD,2021,Lexus,Hybrid Electric,,,30.0,Automatic,3.5L
SUV,RX 450h L AWD,2021,Lexus,Hybrid Electric,,,29.0,Automatic,3.5L
Sedan/Wagon,UX 250h,2021,Lexus,Hybrid Electric,,,42.0,Automatic,2.0L
Sedan/Wagon,UX 250h AWD,2021,Lexus,Hybrid Electric,,,39.0,Automatic,2.0L
SUV,Aviator AWD PHEV,2021,Lincoln,Plug-in Hybrid Electric,21.0,56.0,23.0,Automatic,3.0L
SUV,Corsair AWD PHEV,2021,Lincoln,Plug-in Hybrid Electric,28.0,78.0,33.0,Automatic,2.5L
Sedan/Wagon,AMG CLS 53 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,,,23.0,Automatic,3.0L
Sedan/Wagon,AMG E53 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,,,25.0,Automatic,3.0L
Sedan/Wagon,AMG E53 4MATIC+ (Convertible),2021,Mercedes-Benz,Hybrid Electric,,,23.0,Automatic,3.0L
Sedan/Wagon,AMG E53 4MATIC+ (Coupe),2021,Mercedes-Benz,Hybrid Electric,,,24.0,Automatic,3.0L
SUV,AMG GLE 53 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,,,19.0,Automatic,3.0L
SUV,AMG GLE 53 4MATIC+ Coupe,2021,Mercedes-Benz,Hybrid Electric,,,20.0,Automatic,3.0L
SUV,AMG GLE 63 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,,,16.0,Automatic,4.0L
SUV,AMG GLE 63 S 4MATIC+ Coupe,2021,Mercedes-Benz,Hybrid Electric,,,17.0,Automatic,4.0L
SUV,AMG GLS 63 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,,,16.0,Automatic,4.0L
Sedan/Wagon,AMG GT 43 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,,,22.0,Automatic,3.0L
Sedan/Wagon,AMG GT 53 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,,,22.0,Automatic,3.0L
Sedan/Wagon,CLS 450,2021,Mercedes-Benz,Hybrid Electric,,,26.0,Automatic,3.0L
