date,relative_humidity_2m,apparent_temperature,rain,snowfall,snow_depth,cloud_cover_low,wind_speed_10m,wind_gusts_10m
2021-03-15 16:00:00.000000 UTC,24.0,-3.4,0.0,0.0,0.0,0.0,18.6,37.4
2022-04-28 16:00:00.000000 UTC,24.0,4.2,0.0,0.0,0.0,0.0,34.3,59.4
2021-03-15 17:00:00.000000 UTC,24.0,-3.3,0.0,0.0,0.0,0.0,16.4,34.2
2022-04-29 17:00:00.000000 UTC,24.0,8.2,0.0,0.0,0.0,0.0,24.1,44.3
2022-04-28 17:00:00.000000 UTC,24.0,3.5,0.0,0.0,0.0,0.0,32.5,58.0
2022-04-15 10:00:00.000000 UTC,25.0,12.8,0.0,0.0,0.0,0.0,14.1,29.2
2022-07-04 12:00:00.000000 UTC,25.0,30.1,0.0,0.0,0.0,0.0,4.7,16.6
2023-04-11 12:00:00.000000 UTC,25.0,18.3,0.0,0.0,0.0,0.0,21.3,37.4
2023-06-07 13:00:00.000000 UTC,25.0,22.2,0.0,0.0,0.0,0.0,18.4,34.2
2022-03-22 13:00:00.000000 UTC,25.0,7.0,0.0,0.0,0.0,0.0,24.3,43.2
2023-05-17 13:00:00.000000 UTC,25.0,13.4,0.0,0.0,0.0,0.0,23.8,43.6
2022-08-18 14:00:00.000000 UTC,25.0,28.8,0.0,0.0,0.0,0.0,16.4,33.8
2021-03-15 14:00:00.000000 UTC,25.0,-3.8,0.0,0.0,0.0,0.0,22.3,46.1
2020-01-23 14:00:00.000000 UTC,25.0,2.6,0.0,0.0,0.02,0.0,6.1,15.5
2022-07-04 14:00:00.000000 UTC,25.0,30.0,0.0,0.0,0.0,0.0,9.8,23.0
2023-05-17 15:00:00.000000 UTC,25.0,12.6,0.0,0.0,0.0,0.0,22.2,46.4
2022-08-18 15:00:00.000000 UTC,25.0,28.5,0.0,0.0,0.0,0.0,9.2,31.3
2022-03-28 15:00:00.000000 UTC,25.0,-8.5,0.0,0.0,0.0,0.0,32.3,55.8
2022-01-15 15:00:00.000000 UTC,25.0,-10.8,0.0,0.0,0.02,0.0,12.2,27.7
2021-03-19 15:00:00.000000 UTC,25.0,-1.4,0.0,0.0,0.0,0.0,28.1,54.7
2022-03-28 16:00:00.000000 UTC,25.0,-7.9,0.0,0.0,0.0,0.0,30.8,55.4
2023-05-17 16:00:00.000000 UTC,25.0,10.2,0.0,0.0,0.0,0.0,26.4,46.4
2023-03-21 16:00:00.000000 UTC,25.0,9.7,0.0,0.0,0.0,0.0,19.7,32.8
2022-04-30 16:00:00.000000 UTC,25.0,13.6,0.0,0.0,0.0,0.0,12.6,26.3
2023-04-11 17:00:00.000000 UTC,25.0,15.7,0.0,0.0,0.0,0.0,21.7,38.9
2022-08-12 17:00:00.000000 UTC,25.0,25.8,0.0,0.0,0.0,0.0,15.5,28.1
2022-01-15 17:00:00.000000 UTC,25.0,-11.1,0.0,0.0,0.02,0.0,8.3,20.5
2022-03-28 18:00:00.000000 UTC,25.0,-9.3,0.0,0.0,0.0,0.0,28.9,51.1
2022-04-15 09:00:00.000000 UTC,26.0,11.3,0.0,0.0,0.0,0.0,14.1,26.3
2023-05-16 10:00:00.000000 UTC,26.0,20.9,0.0,0.0,0.0,0.0,10.5,23.0
2023-05-15 11:00:00.000000 UTC,26.0,18.9,0.0,0.0,0.0,0.0,11.5,25.2
2022-04-30 11:00:00.000000 UTC,26.0,11.6,0.0,0.0,0.0,0.0,17.3,33.8
